Script Name,Path,Usage Count,Status,Used By
"PlayerFactionHandler","Assets/NinjaGame/Factions/PlayerFactionHandler.cs",0,"Unused","None"
"ObjectContextModule","Assets/NinjaGame/Identity/ObjectContextModule.cs",0,"Unused","None"
"ModelDatabase","Assets/NinjaGame/Models/ModelDatabase.cs",0,"Unused","None"
"AiControlSource","Assets/NinjaGame/MovementRefactor/AiControlSource.cs",0,"Unused","None"
"FPSCamera","Assets/NinjaGame/ParkourFPSMovement+Camera/FPSCamera.cs",0,"Unused","None"
"FPSControlSource","Assets/NinjaGame/ParkourFPSMovement+Camera/FPSControlSource.cs",0,"Unused","None"
"ParkourFPSLocomotionHandler","Assets/NinjaGame/ParkourFPSMovement+Camera/ParkourFPSLocomotionHandler.cs",0,"Unused","None"
"ParkourStateController","Assets/NinjaGame/ParkourFPSMovement+Camera/ParkourStateController.cs",0,"Unused","None"
"SaveSystemModule","Assets/NinjaGame/Persistence/SaveSystemModule.cs",0,"Unused","None"
"DamageCalculationConfig","Assets/NinjaGame/Stats/DamageCalculationConfig.cs",0,"Unused","None"
"StatSchema","Assets/NinjaGame/Stats/StatSchema.cs",0,"Unused","None"
"InventoryGridDataTests","Assets/NinjaGame/Tests/InventoryGridDataTests.cs",0,"Unused","None"
"ModelSwapTester","Assets/NinjaGame/Tests/ModelSwapTester.cs",0,"Unused","None"
"AISystem","Assets/NinjaGame/AI/Core/AISystem.cs",0,"Unused","None"
"FateSystem","Assets/NinjaGame/AI/GOAP/FateSystem.cs",0,"Unused","None"
"GOAPAction","Assets/NinjaGame/AI/GOAP/GOAPAction.cs",0,"Unused","None"
"GoapDebugUiController","Assets/NinjaGame/AI/GOAP/GoapDebugUiController.cs",0,"Unused","None"
"GOAPModule","Assets/NinjaGame/AI/GOAP/GOAPModule.cs",0,"Unused","None"
"PathfindingModule","Assets/NinjaGame/AI/GOAP/PathfindingModule.cs",0,"Unused","None"
"PerceptionModule","Assets/NinjaGame/AI/GOAP/PerceptionModule.cs",0,"Unused","None"
"EffectManager","Assets/NinjaGame/Combat/Effects/EffectManager.cs",0,"Unused","None"
"StateMachineModule","Assets/NinjaGame/Core/StateMachine/StateMachineModule.cs",0,"Unused","None"
"StatePermissionMatrix","Assets/NinjaGame/Core/StateMachine/StatePermissionMatrix.cs",0,"Unused","None"
"FactionRelationshipConfig","Assets/NinjaGame/Factions/Data/FactionRelationshipConfig.cs",0,"Unused","None"
"EquipmentSlot","Assets/NinjaGame/Inventory/Core/EquipmentSlot.cs",0,"Unused","None"
"ModelSocketConfig","Assets/NinjaGame/Models/Data/ModelSocketConfig.cs",0,"Unused","None"
"NPCConfigurationHandler","Assets/NinjaGame/NPC/Core/NPCConfigurationHandler.cs",0,"Unused","None"
"NPCArchetype","Assets/NinjaGame/NPC/Data/NPCArchetype.cs",0,"Unused","None"
"IdentityHandler","Assets/NinjaGame/Player/Identity/IdentityHandler.cs",0,"Unused","None"
"PlayerInfoModule","Assets/NinjaGame/Player/Identity/PlayerInfoModule.cs",0,"Unused","None"
"CoreStatsUi","Assets/NinjaGame/Player/UI/CoreStatsUi.cs",0,"Unused","None"
"SecondaryStatsUi","Assets/NinjaGame/Player/UI/SecondaryStatsUi.cs",0,"Unused","None"
"StatAllocationSystem","Assets/NinjaGame/Player/UI/StatAllocationSystem.cs",0,"Unused","None"
"StatAllocationUi","Assets/NinjaGame/Player/UI/StatAllocationUi.cs",0,"Unused","None"
"HumanoidMeleeCombatBehavior","Assets/NinjaGame/AI/GOAP/Goals/HumanoidMeleeCombatBehavior.cs",0,"Unused","None"
"AbilityDefinition","Assets/NinjaGame/Combat/Abilities/Data/AbilityDefinition.cs",0,"Unused","None"
"AbilitySlotData","Assets/NinjaGame/Combat/Abilities/Data/AbilitySlotData.cs",0,"Unused","None"
"DefenseAbilityData","Assets/NinjaGame/Combat/Abilities/Data/DefenseAbilityData.cs",0,"Unused","None"
"NaturalWeaponHitbox","Assets/NinjaGame/Combat/Abilities/NaturalWeapons/NaturalWeaponHitbox.cs",0,"Unused","None"
"WeaponData","Assets/NinjaGame/Combat/Weapons/Data/WeaponData.cs",0,"Unused","None"
"ItemDefinition","Assets/NinjaGame/Inventory/Items/Data/ItemDefinition.cs",0,"Unused","None"
"ItemIconVisual","Assets/NinjaGame/Inventory/Items/UI/ItemIconVisual.cs",0,"Unused","None"
